DATA                              	HORA 	OPERAÇÃO	MATRICULA	PROCED	DESTINO  	TIPO	       	
01/08/2016                        	01:08	ARR     	CMP141       	MPTO  	SBEG     	E190	    
01/08/2016                        	01:25	ARR     	AAL1265      	KMIA  	SBEG     	A319	
01/08/2016                        	01:43	ARR     	TPA841       	KMIA  	SBEG     	A332	
01/08/2016                        	01:48	ARR     	AZU9354      	SBTT  	SBEG     	E190	
01/08/2016                        	02:53	ARR     	GLO5362      	SBBR  	SBEG     	B738	
01/08/2016                        	02:56	DEP     	AAL964       	SBEG  	KMIA     	A319	    
01/08/2016                        	02:58	ARR     	TAM3750      	SBGR  	SBEG     	A321	   
01/08/2016                        	03:16	DEP     	TPA840       	SBEG  	SKBO     	A332  
01/08/2016                        	03:27	ARR     	TAM3542      	SBBR  	SBEG     	A320  
01/08/2016                        	03:48	ARR     	AZU9351      	SBTT  	SBEG     	E190    
01/08/2016                        	03:52	DEP     	AZU9353      	SBEG  	SBPV     	E190    
01/08/2016                        	03:56	DEP     	GLO1319      	SBEG  	SBBE     	B738 
01/08/2016                        	04:13	ARR     	AZU2480      	SBPV  	SBEG     	E190    
01/08/2016                        	04:24	ARR     	GLO6740      	SBGR  	SBEG     	B738	    
01/08/2016                        	05:19	ARR     	GLO5807      	SBGL  	SBEG     	B738 
01/08/2016                        	05:28	DEP     	GLO6745      	SBEG  	SBGR     	B738	   
01/08/2016                        	05:39	DEP     	AZU9222      	SBEG  	SBCF     	E190 
01/08/2016                        	05:48	ARR     	INC773       	TNCC  	SBEG     	MD83	    
01/08/2016                        	05:50	DEP     	TAM3751      	SBEG  	SBGR     	A321	   
01/08/2016                        	05:59	ARR     	TAM3746      	SBGR  	SBEG     	A320	   
01/08/2016                        	06:19	DEP     	AZU2651      	SBEG  	SBFZ     	E190  
01/08/2016                        	06:23	DEP     	GLO5632      	SBEG  	SBGL     	B738	    
01/08/2016                        	06:32	ARR     	AZU2652      	SBFZ  	SBEG     	E190	   
01/08/2016                        	07:28	DEP     	CMP140       	SBEG  	MPTO     	E190	 
01/08/2016                        	07:36	DEP     	INC774       	SBEG  	TNCC     	MD83	   
01/08/2016                        	07:44	DEP     	PTMEJ        	SBEG  	SBPV     	C208	 
01/08/2016                        	08:07	ARR     	GLO1343      	SBBE  	SBEG     	B738	    
01/08/2016                        	08:35	DEP     	AZU2810      	SBEG  	SBPV     	E190
01/08/2016                        	08:50	DEP     	GLO5315      	SBEG  	SBBR     	B738    
01/08/2016                        	09:01	DEP     	TAM3651      	SBEG  	SBBR     	A321    
01/08/2016                        	10:04	DEP     	PTRFR        	SBEG  	SWBR     	PAT4  
01/08/2016                        	10:09	DEP     	PRVCB        	SBEG  	SWFN     	C208  
01/08/2016                        	10:13	DEP     	PRADS        	SBEG  	ZZZZ     	ZZZZ
01/08/2016                        	10:17	DEP     	TAM3747      	SBEG  	SBGR     	A321    
01/08/2016                        	11:03	DEP     	PTGKX        	SBEG  	SBUA     	E110   
01/08/2016                        	11:12	ARR     	PTRFR        	SWBR  	SBEG     	PAT4	   
01/08/2016                        	11:29	DEP     	PAM5942      	SBEG  	SWLB     	AT43   
01/08/2016                        	11:36	DEP     	PPMDB        	SBEG  	SBBV     	C56X 
01/08/2016                        	11:40	DEP     	PTRFR        	SBEG  	SWBR     	PAT4 
01/08/2016                        	11:45	ARR     	AZU2573      	SBPV  	SBEG     	E190   
01/08/2016                        	12:06	DEP     	TTL9921      	SBEG  	SBUY     	AT45
01/08/2016                        	12:09	DEP     	PAM5954      	SBEG  	SBIH     	AT72
01/08/2016                        	12:31	ARR     	N74GG        	KBRO  	SBEG     	GLF4 
01/08/2016                        	12:33	DEP     	PRMNS        	SBEG  	SBTT     	C208    
01/08/2016                        	12:45	DEP     	AZU2718      	SBEG  	SBSN     	E190
01/08/2016                        	12:51	ARR     	PTRFR        	SWBR  	SBEG     	PAT4  
01/08/2016                        	14:06	ARR     	TTL9920      	SBUY  	SBEG     	AT45  
01/08/2016                        	14:18	DEP     	PRRTC        	SBEG  	ZZZZ     	C208  
01/08/2016                        	14:20	DEP     	PRRTA        	SBEG  	ZZZZ     	ZZZZ   
01/08/2016                        	15:06	ARR     	PRRTC        	ZZZZ  	SBEG     	C28A
01/08/2016                        	15:09	ARR     	AZU2840      	SBKP  	SBEG     	E190
01/08/2016                        	15:13	ARR     	AZU2719      	SBSN  	SBEG     	E190 
01/08/2016                        	15:16	ARR     	GLO5363      	SBBR  	SBEG     	B738  
01/08/2016                        	15:19	ARR     	AZU9223      	SBCF  	SBEG     	E190   
01/08/2016                        	15:22	ARR     	TPA847       	KMIA  	SBEG     	A332 
01/08/2016                        	15:25	ARR     	PAM5943      	SWLB  	SBEG     	AT43  
01/08/2016                        	15:40	ARR     	PTRTA        	ZZZZ  	SBEG     	PA32
01/08/2016                        	16:01	ARR     	PTMEJ        	SWKO  	SBEG     	C208
01/08/2016                        	16:03	DEP     	GLO5363      	SBEG  	SBSN     	B738
01/08/2016                        	16:06	DEP     	AZU4107      	SBEG  	SWPI     	E190
01/08/2016                        	16:12	DEP     	AZU2572      	SBEG  	SBPV     	E190   
